id,booking_status,probability
42100,0,0.08056869
42101,0,0.041372616
42102,0,0.29483977
42103,0,0.21812926
42104,0,0.46663517
42105,1,0.51952857
42106,1,0.54691035
42107,1,0.7808392
42108,0,3.2793736e-08
42109,0,0.49871907
42110,1,0.67507756
42111,0,0.3159137
42112,0,0.39971206
42113,0,0.1458584
42114,0,0.27910575
42115,1,0.8721244
42116,0,0.047495633
42117,0,0.28998196
42118,1,0.882007
42119,1,0.8828064
42120,1,0.89824486
42121,0,0.16799818
42122,0,0.011760078
42123,1,0.5408998
42124,1,0.7865638
42125,0,0.0022680948
42126,0,1.7413244e-29
42127,0,0.0077138026
42128,0,0.41105196
42129,1,0.87206936
42130,1,0.8840093
42131,1,0.70862514
42132,0,0.40573755
42133,1,0.96661514
42134,0,0.45844752
42135,0,4.0630663e-14
42136,0,0.038366813
42137,1,0.53770435
42138,1,0.65264755
42139,1,0.82812035
42140,0,0.0081456825
42141,0,0.2731995
42142,1,0.6968306
42143,1,0.8903664
42144,0,0.10920969
42145,1,0.8238099
42146,0,0.078041606
42147,1,0.8942737
42148,1,0.6249442
42149,0,0.41144112
42150,0,0.3037298
42151,1,0.6694218
42152,1,0.80506814
42153,0,0.12247521
42154,1,0.55945367
42155,1,0.53232765
42156,1,0.6061921
42157,0,0.028958684
42158,0,0.2343108
42159,1,0.8217798
42160,1,0.71127206
42161,0,5.2626507e-07
42162,0,0.048649468
42163,0,0.051929083
42164,1,0.7838846
42165,0,0.38025615
42166,1,0.7679332
42167,0,5.240011e-09
42168,1,0.6778605
42169,0,0.47938493
42170,0,0.016995296
42171,0,0.10140929
42172,0,0.39892596
42173,1,0.85272276
42174,0,0.16179295
42175,0,0.28514075
42176,1,0.9157906
42177,0,0.16185533
42178,0,0.038145367
42179,1,0.8635125
42180,1,0.7829535
42181,0,0.47303808
42182,1,0.67933697
42183,1,0.6039638
42184,0,0.10427271
42185,0,0.16572757
42186,0,0.19665247
42187,0,0.3579691
42188,0,0.03422453
42189,0,0.15466064
42190,0,0.32699242
42191,0,0.38406798
42192,0,0.2751683
42193,0,0.30936474
42194,0,0.28703558
42195,1,0.90937
42196,1,0.85980326
42197,0,0.47298712
42198,1,0.62930477
42199,0,0.47766447
42200,1,0.5917963
42201,1,0.6956608
42202,1,0.5230328
42203,0,0.23429893
42204,1,0.79343104
42205,0,0.2086054
42206,0,0.011032284
42207,1,0.750911
42208,0,0.04829945
42209,0,0.37136614
42210,0,0.31106988
42211,0,0.27548268
42212,0,0.33012488
42213,1,0.8301834
42214,1,0.8158423
42215,0,0.4841198
42216,1,0.6085461
42217,0,0.16574542
42218,0,0.05155422
42219,0,0.09995031
42220,0,0.47133523
42221,1,0.7047669
42222,0,0.4880562
42223,0,0.13566042
42224,1,0.912705
42225,1,0.74145144
42226,1,0.8804592
42227,0,0.0758669
42228,0,0.48622733
42229,0,0.09278425
42230,0,0.32283667
42231,1,0.8021584
42232,1,0.8940687
42233,0,0.09140868
42234,1,0.7673641
42235,0,0.15573515
42236,0,0.0374494
42237,1,0.76582664
42238,0,0.253117
42239,0,0.18888809
42240,1,0.9261885
42241,1,0.5704569
42242,0,0.122209676
42243,1,0.92176825
42244,0,0.30128935
42245,1,0.64828306
42246,1,0.8950458
42247,1,0.85687387
42248,0,0.4330115
42249,1,0.8820118
42250,0,0.4663067
42251,0,0.19229583
42252,1,0.7913526
42253,1,0.7538557
42254,0,0.078207284
42255,0,0.13543962
42256,1,0.6371277
42257,1,0.6301979
42258,0,0.33657122
42259,1,0.7586196
42260,1,0.74154115
42261,1,0.69254255
42262,1,0.84921485
42263,1,0.9470409
42264,0,0.09775624
42265,1,0.76779956
42266,0,0.033314228
42267,0,0.24116383
42268,1,0.81485975
42269,0,0.10044819
42270,1,0.8793537
42271,1,0.7853339
42272,0,0.07577241
42273,0,0.11257302
42274,1,0.8925788
42275,0,0.24826494
42276,0,0.13955313
42277,0,0.06399751
42278,0,0.036993522
42279,0,0.33171636
42280,0,0.31820893
42281,0,0.0013112644
42282,1,0.69965893
42283,0,0.09407656
42284,0,0.41390747
42285,0,0.038299154
42286,0,0.13014083
42287,1,0.74429697
42288,0,0.37045097
42289,1,0.72688043
42290,0,0.04011762
42291,1,0.9019163
42292,0,0.15334976
42293,1,0.7698069
42294,1,0.96919197
42295,0,0.20215629
42296,0,0.043226924
42297,0,0.24900316
42298,0,0.11700694
42299,1,0.817424
42300,0,0.27520812
42301,0,0.4529429
42302,0,0.26170734
42303,0,0.25804558
42304,0,0.13491449
42305,0,0.29200613
42306,0,0.15447636
42307,0,0.05674536
42308,0,0.26876867
42309,0,0.19026765
42310,0,0.41900685
42311,1,0.65571636
42312,0,0.08008069
42313,1,0.9211439
42314,1,0.5886322
42315,0,0.22465988
42316,1,0.63680947
42317,0,0.15185158
42318,0,0.44092625
42319,0,0.009935048
42320,0,0.3165979
42321,1,0.51628697
42322,1,0.8044198
42323,0,0.05544172
42324,1,0.7140152
42325,0,0.034386497
42326,1,0.67772794
42327,0,0.033242695
42328,0,0.09998575
42329,0,0.0546699
42330,1,0.76493883
42331,0,0.4208104
42332,0,0.49279043
42333,1,0.72116053
42334,0,0.030591968
42335,1,0.73481363
42336,0,0.13071737
42337,1,0.7776414
42338,0,0.28243086
42339,0,0.020580562
42340,0,0.06978143
42341,1,0.65120053
42342,1,0.842575
42343,0,0.4538041
42344,0,0.38957503
42345,0,0.031621117
42346,1,0.9858422
42347,1,0.7871861
42348,1,0.7418784
42349,0,0.04921485
42350,0,0.38825667
42351,0,0.068855904
42352,1,0.7831659
42353,1,0.7646868
42354,0,0.13238493
42355,0,0.1795777
42356,1,0.5836609
42357,0,0.000214553
42358,1,0.83606607
42359,0,0.11359523
42360,1,0.79559815
42361,0,0.18309389
42362,1,0.6887173
42363,0,0.20600335
42364,0,0.1944699
42365,0,0.20113651
42366,0,0.29195645
42367,1,0.71187776
42368,1,0.50727826
42369,1,0.82524115
42370,0,0.43996418
42371,0,0.07435194
42372,1,0.54791653
42373,1,0.9095514
42374,0,0.3987456
42375,0,0.33947808
42376,0,0.044900395
42377,1,0.915221
42378,1,0.6521168
42379,0,0.14747722
42380,0,0.019911181
42381,1,0.5091568
42382,1,0.71377164
42383,1,0.915925
42384,0,0.26599252
42385,0,0.018927544
42386,1,0.88173974
42387,1,0.7094267
42388,0,0.07166178
42389,0,0.016992556
42390,1,0.86352175
42391,0,0.24883968
42392,0,0.036202025
42393,0,0.16273956
42394,0,0.4506382
42395,1,0.5132535
42396,0,0.075966895
42397,1,0.9293574
42398,0,0.06694028
42399,1,0.8130168
42400,1,0.66640335
42401,0,0.3429531
42402,1,0.60421276
42403,0,0.38841295
42404,0,0.27532965
42405,0,0.2588864
42406,0,0.4878684
42407,0,0.12580504
42408,0,0.17490084
42409,0,0.4251742
42410,1,0.57021075
42411,0,8.610356e-11
42412,1,0.86079234
42413,1,0.6413188
42414,1,0.6751495
42415,0,0.14620222
42416,1,0.8280754
42417,0,0.18460792
42418,0,0.4189265
42419,0,0.31709242
42420,0,0.15717684
42421,0,0.058401667
42422,0,0.49016908
42423,1,0.7171829
42424,1,0.8121517
42425,0,0.38760448
42426,0,0.46018186
42427,0,0.052307814
42428,0,0.31623867
42429,1,0.96198714
42430,1,0.5450929
42431,1,0.6840428
42432,1,0.90239793
42433,0,0.22075483
42434,0,6.836333e-06
42435,0,0.06367535
